"Timestamp","Please provide your Worker's ID.","All the agents know which goal they are trying to reach.","Multiple agents may all be trying to reach the same goal.","The goals have different colors in the grid-world environment.","Which one is the Blue Agent's goal?","Which one is the Green Agent's goal?","Which one is the Red Agent's goal?","Which one is the Blue Agent's goal?","Which one is the Green Agent's goal?","Which one is the Red Agent's goal?","Which one is the Blue Agent's goal?","Which one is the Green Agent's goal?","Which one is the Red Agent's goal?","Which one is the Blue Agent's goal?","Which one is the Green Agent's goal?","Which one is the Red Agent's goal?","Which one is the Blue Agent's goal?","Which one is the Green Agent's goal?","Which one is the Red Agent's goal?","Which one is the Blue Agent's goal?","Which one is the Green Agent's goal?","Which one is the Red Agent's goal?","Which one is the Blue Agent's goal?","Which one is the Green Agent's goal?","Which one is the Red Agent's goal?","Which one is the Blue Agent's goal?","Which one is the Green Agent's goal?","Which one is the Red Agent's goal?","Which one is the Blue Agent's goal?","Which one is the Green Agent's goal?","Which one is the Red Agent's goal?","Which one is the Blue Agent's goal?","Which one is the Green Agent's goal?","Which one is the Red Agent's goal?","Which one is the Blue Agent's goal?","Which one is the Green Agent's goal?","Which one is the Red Agent's goal?","Which one is the Blue Agent's goal?","Which one is the Green Agent's goal?","Which one is the Red Agent's goal?","","","","Which one is the Blue Agent's goal?","Which one is the Magenta Agent's goal?","Which one is the Yellow Agent's goal?","Which one is the Blue Agent's goal?","Which one is the Magenta Agent's goal?","Which one is the Yellow Agent's goal?","Which one is the Blue Agent's goal?","Which one is the Magenta Agent's goal?","Which one is the Yellow Agent's goal?","Which one is the Blue Agent's goal?","Which one is the Magenta Agent's goal?","Which one is the Yellow Agent's goal?","Which one is the Blue Agent's goal?","Which one is the Magenta Agent's goal?","Which one is the Yellow Agent's goal?","Which one is the Blue Agent's goal?","Which one is the Magenta Agent's goal?","Which one is the Yellow Agent's goal?","Which one is the Blue Agent's goal?","Which one is the Magenta Agent's goal?","Which one is the Yellow Agent's goal?","Which one is the Blue Agent's goal?","Which one is the Magenta Agent's goal?","Which one is the Yellow Agent's goal?","Which one is the Blue Agent's goal?","Which one is the Magenta Agent's goal?","Which one is the Yellow Agent's goal?","Which one is the Blue Agent's goal?","Which one is the Magenta Agent's goal?","Which one is the Yellow Agent's goal?","Which one is the Blue Agent's goal?","Which one is the Magenta Agent's goal?","Which one is the Yellow Agent's goal?","Which one is the Blue Agent's goal?","Which one is the Magenta Agent's goal?","Which one is the Yellow Agent's goal?","","","","Confirm your Worker's ID."
"2021/08/23 3:59:30 PM AST","A2CB788R80XSMG","True","True","False","Circle goal","Triangle goal","Circle goal","Square goal","Circle goal","Triangle goal","Circle goal","Triangle goal","Square goal","Triangle goal","Circle goal","Square goal","Triangle goal","Circle goal","Square goal","Triangle goal","Circle goal","Square goal","Circle goal","Triangle goal","Square goal","Circle goal","Triangle goal","Square goal","Circle goal","Triangle goal","Square goal","Circle goal","Circle goal","Circle goal","Square goal","Triangle goal","Circle goal","Triangle goal","Circle goal","Circle goal","B","B","A","Tomato","Plate","Lettuce","Tomato","Lettuce","Lettuce","Plate","Lettuce","Plate","Tomato","Lettuce","Plate","Tomato","Plate","Lettuce","Lettuce","Tomato","Lettuce","Plate","Lettuce","Lettuce","Tomato","Lettuce","Plate","Lettuce","Tomato","Plate","Tomato","Lettuce","Tomato","Plate","Lettuce","Tomato","Lettuce","Tomato","Lettuce","A","B","A","A2CB788R80XSMG"
"2021/08/23 3:59:52 PM AST","A35ESFO0JWUHTS","True","True","True","Circle goal","Triangle goal","Circle goal","Circle goal","Triangle goal","Circle goal","Circle goal","Triangle goal","Triangle goal","Square goal","Circle goal","Square goal","Square goal","Circle goal","Square goal","Square goal","Circle goal","Square goal","Circle goal","Triangle goal","Square goal","Circle goal","Triangle goal","Square goal","Circle goal","Triangle goal","Square goal","Circle goal","Circle goal","Triangle goal","Triangle goal","Triangle goal","Triangle goal","Triangle goal","Triangle goal","Circle goal","A","B","A","Plate","Plate","Lettuce","Plate","Tomato","Lettuce","Plate","Tomato","Lettuce","Tomato","Tomato","Tomato","Tomato","Tomato","Plate","Plate","Lettuce","Plate","Plate","Lettuce","None","Plate","Lettuce","None","Plate","Lettuce","None","Plate","Plate","None","Tomato","Lettuce","Plate","Tomato","Lettuce","Tomato","B","B","B","A35ESFO0JWUHTS"
"2021/08/23 4:00:06 PM AST","A1TB4YS0V7QQYN","True","True","True","Square goal","Square goal","Square goal","Square goal","Square goal","Square goal","Square goal","Square goal","Square goal","Square goal","Square goal","Square goal","Square goal","Square goal","Square goal","Square goal","Square goal","Square goal","Square goal","Square goal","Square goal","Square goal","Square goal","Square goal","Square goal","Square goal","Square goal","Square goal","Square goal","Square goal","Square goal","Square goal","Square goal","Square goal","Square goal","Square goal","A","B","B","Lettuce","Lettuce","Plate","Plate","Plate","Lettuce","Tomato","Tomato","Lettuce","Tomato","Plate","Lettuce","Tomato","Plate","Plate","Plate","Plate","Plate","Plate","Plate","None","Tomato","Lettuce","None","Tomato","Lettuce","None","Tomato","Plate","Plate","Tomato","Plate","Plate","Tomato","Plate","Tomato","A","B","B","A1TB4YS0V7QQYN"
"2021/08/23 4:00:30 PM AST","A2U48CTOJYT7BZ","True","False","True","Circle goal","Circle goal","Circle goal","Circle goal","Triangle goal","Circle goal","Circle goal","Triangle goal","Triangle goal","Square goal","Circle goal","Square goal","Square goal","Circle goal","Square goal","Square goal","Circle goal","Square goal","Circle goal","Triangle goal","Square goal","Circle goal","Triangle goal","Square goal","Circle goal","Triangle goal","Square goal","Circle goal","Circle goal","Circle goal","Circle goal","Triangle goal","Circle goal","Circle goal","Circle goal","Circle goal","A","B","A","None","None","Plate","Plate","Lettuce","Plate","Plate","Tomato","Lettuce","None","None","None","Plate","None","None","Plate","Plate","Plate","Plate","Tomato","None","Tomato","Lettuce","None","Plate","Lettuce","None","Plate","None","None","Tomato","None","None","Tomato","Lettuce","Plate","B","B","B","A2U48CTOJYT7BZ"
"2021/08/23 4:01:22 PM AST","A16W4F8B9INVXH","True","True","False","Circle goal","Triangle goal","Triangle goal","Circle goal","Triangle goal","Circle goal","Circle goal","Triangle goal","Triangle goal","Square goal","Circle goal","Square goal","Square goal","Circle goal","Square goal","Square goal","Circle goal","Square goal","Circle goal","Triangle goal","Square goal","Circle goal","Triangle goal","Square goal","Circle goal","Triangle goal","Square goal","Triangle goal","Circle goal","Circle goal","Triangle goal","Circle goal","Circle goal","Triangle goal","Circle goal","Circle goal","A","B","A","Tomato","Lettuce","Lettuce","Plate","Lettuce","Lettuce","Plate","Tomato","Lettuce","None","None","None","Tomato","None","None","Plate","Lettuce","Plate","Plate","None","None","Tomato","Lettuce","None","Plate","Lettuce","None","None","None","None","Tomato","None","None","Tomato","Lettuce","Plate","B","A","B","A16W4F8B9INVXH"
"2021/08/23 4:02:03 PM AST","AAZMEN8L14Y9","True","True","True","Circle goal","Triangle goal","Circle goal","Circle goal","Triangle goal","Triangle goal","Circle goal","Triangle goal","Triangle goal","Square goal","Circle goal","Square goal","Square goal","Circle goal","Square goal","Square goal","Circle goal","Square goal","Circle goal","Triangle goal","Square goal","Circle goal","Triangle goal","Square goal","Circle goal","Triangle goal","Square goal","Circle goal","Circle goal","Circle goal","Circle goal","Circle goal","Circle goal","Circle goal","Circle goal","Circle goal","A","A","A","None","None","None","None","None","Lettuce","Plate","None","Lettuce","None","None","None","None","None","None","Plate","Lettuce","None","None","None","None","None","None","None","Plate","Lettuce","None","None","None","None","Plate","Plate","None","None","Lettuce","None","A","A","A","AAZMEN8L14Y9"
"2021/08/23 4:02:07 PM AST","A3BEFPVTHI96PJ","True","True","False","Circle goal","Circle goal","Circle goal","Circle goal","Triangle goal","Triangle goal","Circle goal","Triangle goal","Triangle goal","Square goal","Circle goal","Square goal","Square goal","Circle goal","Square goal","Square goal","Circle goal","Square goal","Circle goal","Triangle goal","Square goal","Circle goal","Triangle goal","Square goal","Circle goal","Triangle goal","Square goal","Circle goal","Circle goal","Circle goal","Triangle goal","Triangle goal","Triangle goal","Triangle goal","Triangle goal","Circle goal","A","B","A","Plate","Tomato","Lettuce","Plate","Tomato","Lettuce","Plate","Tomato","Lettuce","Tomato","Tomato","Tomato","Tomato","Lettuce","Lettuce","Tomato","Lettuce","Lettuce","Tomato","Lettuce","Lettuce","Tomato","Tomato","Lettuce","Tomato","Tomato","None","Plate","Tomato","None","Plate","Tomato","Lettuce","Tomato","Plate","Lettuce","B","A","B","A3BEFPVTHI96PJ"
"2021/08/23 4:03:11 PM AST","A1CQAZUFTVDFEQ","True","True","True","Circle goal","Circle goal","Circle goal","Circle goal","Triangle goal","Triangle goal","Circle goal","Circle goal","Circle goal","Square goal","Circle goal","Square goal","Square goal","Circle goal","Square goal","Square goal","Circle goal","Square goal","Circle goal","Triangle goal","Square goal","Circle goal","Triangle goal","Square goal","Circle goal","Triangle goal","Square goal","Circle goal","Circle goal","Circle goal","Circle goal","Circle goal","Circle goal","Circle goal","Circle goal","Circle goal","B","A","B","Tomato","Tomato","None","Plate","None","None","Plate","Tomato","Lettuce","Tomato","Tomato","Lettuce","Tomato","None","Lettuce","Plate","None","Plate","Plate","Lettuce","None","Plate","None","None","Plate","Plate","None","Tomato","None","None","Tomato","None","None","Tomato","Lettuce","Tomato","B","A","B","A1CQAZUFTVDFEQ"
"2021/08/23 4:04:28 PM AST","A739C5HZ15BIS","True","True","True","Circle goal","Circle goal","Circle goal","Circle goal","Triangle goal","Circle goal","Circle goal","Triangle goal","Circle goal","Square goal","Circle goal","Square goal","Square goal","Circle goal","Square goal","Square goal","Circle goal","Square goal","Circle goal","Triangle goal","Square goal","Circle goal","Triangle goal","Square goal","Circle goal","Triangle goal","Square goal","Circle goal","Circle goal","Circle goal","Circle goal","Circle goal","Circle goal","Triangle goal","Circle goal","Circle goal","A","B","A","Tomato","None","None","Plate","None","Lettuce","Plate","Tomato","Lettuce","None","None","None","Tomato","None","None","Plate","None","Plate","Plate","Tomato","None","Tomato","Lettuce","None","Plate","Lettuce","None","None","None","None","None","None","None","Tomato","Lettuce","Tomato","A","B","A","A739C5HZ15BIS"
"2021/08/23 4:05:18 PM AST","A671KKMFUF33R","True","True","True","Circle goal","Triangle goal","Triangle goal","Triangle goal","Triangle goal","Square goal","Circle goal","Triangle goal","Triangle goal","Triangle goal","Triangle goal","Triangle goal","Triangle goal","Triangle goal","Triangle goal","Triangle goal","Square goal","Square goal","Circle goal","Triangle goal","Square goal","Square goal","Triangle goal","Square goal","Circle goal","Triangle goal","Square goal","Circle goal","Triangle goal","Square goal","Triangle goal","Square goal","Square goal","Circle goal","Triangle goal","Triangle goal","A","A","B","Tomato","Plate","Lettuce","Plate","Tomato","Lettuce","Lettuce","Lettuce","Plate","Tomato","Lettuce","Plate","Plate","Tomato","Lettuce","Plate","Tomato","None","Plate","Tomato","Lettuce","Lettuce","Tomato","Plate","Plate","Tomato","None","Tomato","Lettuce","Lettuce","Lettuce","Plate","Tomato","Tomato","Plate","None","A","B","B","A671KKMFUF33RR"
"2021/08/23 4:05:42 PM AST","ACFNNGS2U2UM4","True","True","True","Circle goal","Circle goal","Circle goal","Circle goal","Triangle goal","Circle goal","Circle goal","Triangle goal","Circle goal","Square goal","Circle goal","Square goal","Square goal","Circle goal","Square goal","Square goal","Circle goal","Square goal","Circle goal","Triangle goal","Square goal","Circle goal","Triangle goal","Square goal","Circle goal","Triangle goal","Square goal","Circle goal","Circle goal","Circle goal","Circle goal","Circle goal","Circle goal","Circle goal","Circle goal","Circle goal","B","A","A","Lettuce","Tomato","Lettuce","Plate","Lettuce","Lettuce","Plate","Lettuce","Lettuce","None","None","None","None","None","None","Plate","None","Plate","Plate","None","None","Plate","None","None","Tomato","Lettuce","None","None","None","None","None","None","None","Tomato","None","Tomato","A","A","A","ACFNNGS2U2UM4"
"2021/08/23 4:06:14 PM AST","A1WUXG0KF3BPPO","True","True","False","Circle goal","Triangle goal","Square goal","Circle goal","Triangle goal","Square goal","Circle goal","Triangle goal","Circle goal","Square goal","Circle goal","Square goal","Square goal","Circle goal","Square goal","Square goal","Circle goal","Square goal","Triangle goal","Triangle goal","Square goal","Circle goal","Triangle goal","Square goal","Circle goal","Triangle goal","Square goal","Triangle goal","Circle goal","Circle goal","Triangle goal","Circle goal","Circle goal","Triangle goal","Circle goal","Circle goal","B","A","B","Tomato","Lettuce","Lettuce","Plate","Lettuce","Lettuce","Plate","Tomato","Lettuce","Lettuce","Lettuce","Lettuce","Plate","Tomato","Lettuce","Plate","Lettuce","Tomato","Plate","Tomato","None","Tomato","Plate","None","Plate","Lettuce","None","Tomato","Lettuce","None","Tomato","Lettuce","Lettuce","Tomato","Lettuce","Tomato","B","B","A","A1WUXG0KF3BPPO"
"2021/08/23 4:06:31 PM AST","APW6SA38XAOVN","True","False","False","Circle goal","Triangle goal","Square goal","Circle goal","Square goal","Triangle goal","Circle goal","Triangle goal","Triangle goal","Square goal","Circle goal","Square goal","Square goal","Circle goal","Square goal","Square goal","Circle goal","Square goal","Circle goal","Triangle goal","Square goal","Circle goal","Triangle goal","Square goal","Circle goal","Triangle goal","Square goal","Circle goal","Circle goal","Circle goal","Circle goal","Circle goal","Circle goal","Circle goal","Circle goal","Circle goal","A","A","B","None","None","Lettuce","Plate","None","Lettuce","Plate","Tomato","Lettuce","None","None","None","None","None","None","Plate","None","Plate","Plate","None","None","Plate","Lettuce","None","Plate","Lettuce","None","None","None","None","None","None","None","Tomato","Lettuce","Tomato","A","B","A","APW6SA38XAOVN"
"2021/08/23 4:06:52 PM AST","A3DMADHG2DU6H2","True","True","True","Circle goal","Circle goal","Circle goal","Circle goal","Circle goal","Circle goal","Circle goal","Triangle goal","Triangle goal","Square goal","Circle goal","Square goal","Square goal","Circle goal","Square goal","Square goal","Circle goal","Square goal","Circle goal","Triangle goal","Square goal","Circle goal","Triangle goal","Square goal","Circle goal","Triangle goal","Square goal","Circle goal","Circle goal","Circle goal","Circle goal","Circle goal","Circle goal","Circle goal","Circle goal","Circle goal","B","A","B","Lettuce","Lettuce","None","Plate","Tomato","None","Plate","Tomato","Lettuce","Tomato","None","Lettuce","Tomato","Plate","Plate","Tomato","None","None","Plate","Lettuce","None","Plate","None","None","Plate","Lettuce","None","Tomato","None","None","Tomato","None","None","Tomato","None","Tomato","B","B","A","A3DMADHG2DU6H2"
"2021/08/23 4:06:57 PM AST","A24JSPOAI5MMVW","True","False","True","Triangle goal","Circle goal","Triangle goal","Square goal","Triangle goal","Circle goal","Triangle goal","Circle goal","Circle goal","Triangle goal","Circle goal","Square goal","Triangle goal","Circle goal","Square goal","Square goal","Circle goal","Triangle goal","Circle goal","Triangle goal","Square goal","Circle goal","Triangle goal","Square goal","Triangle goal","Circle goal","Square goal","Triangle goal","Triangle goal","Circle goal","Circle goal","Triangle goal","Square goal","Circle goal","Triangle goal","Square goal","A","B","A","Tomato","Lettuce","Plate","Plate","Tomato","Lettuce","Tomato","Plate","Lettuce","Tomato","Plate","Lettuce","Plate","Tomato","Lettuce","Plate","Tomato","Lettuce","Plate","Tomato","Lettuce","Tomato","Lettuce","Plate","Tomato","Plate","Lettuce","Tomato","Plate","Lettuce","Tomato","Plate","Lettuce","Tomato","Plate","Lettuce","A","B","A","A24JSPOAI5MMVW"
"2021/08/23 4:09:41 PM AST","A2BZQT199ZXLIP","True","False","True","Circle goal","Triangle goal","Square goal","Circle goal","Triangle goal","Circle goal","Square goal","Triangle goal","Circle goal","Square goal","Circle goal","Square goal","Square goal","Circle goal","Square goal","Square goal","Circle goal","Square goal","Circle goal","Triangle goal","Square goal","Circle goal","Triangle goal","Square goal","Circle goal","Triangle goal","Square goal","Circle goal","Circle goal","Circle goal","Circle goal","Circle goal","Circle goal","Circle goal","Circle goal","Circle goal","A","B","A","Tomato","Tomato","Lettuce","Tomato","None","Lettuce","Tomato","Tomato","Lettuce","None","None","None","Plate","Tomato","Tomato","Plate","Lettuce","Plate","Plate","Plate","None","Plate","Lettuce","None","Plate","Lettuce","None","Plate","Plate","Plate","Plate","Plate","Plate","Plate","Plate","Plate","A","A","A","A2BZQT199ZXLIP"
"2021/08/23 4:10:19 PM AST","A1HXDZDV9Z1OHA","True","True","True","Circle goal","Triangle goal","Triangle goal","Square goal","Triangle goal","Circle goal","Circle goal","Triangle goal","Triangle goal","Triangle goal","Circle goal","Square goal","Square goal","Circle goal","Square goal","Square goal","Circle goal","Square goal","Circle goal","Triangle goal","Square goal","Circle goal","Triangle goal","Square goal","Circle goal","Triangle goal","Square goal","Triangle goal","Circle goal","Circle goal","Triangle goal","Circle goal","Circle goal","Triangle goal","Circle goal","Square goal","A","A","A","None","None","None","Plate","None","None","Plate","None","None","None","None","None","None","None","Plate","Plate","None","Plate","Plate","None","None","Tomato","Plate","None","Plate","Lettuce","None","Plate","Plate","None","None","None","None","Tomato","Tomato","None","A","B","A","A1HXDZDV9Z1OHA"
"2021/08/23 4:10:36 PM AST","A13OPTWYRNK1PH","True","False","True","Circle goal","Triangle goal","Circle goal","Circle goal","Triangle goal","Triangle goal","Circle goal","Triangle goal","Triangle goal","Square goal","Circle goal","Square goal","Square goal","Circle goal","Square goal","Square goal","Circle goal","Square goal","Circle goal","Triangle goal","Square goal","Circle goal","Triangle goal","Square goal","Circle goal","Triangle goal","Square goal","Circle goal","Circle goal","Triangle goal","Triangle goal","Triangle goal","Circle goal","Triangle goal","Circle goal","Circle goal","A","B","A","None","Plate","None","None","Plate","Lettuce","Plate","None","Lettuce","None","Plate","None","None","Plate","Plate","Plate","None","None","None","Plate","None","None","Lettuce","None","Plate","Lettuce","None","None","Plate","Plate","None","Plate","Plate","Tomato","None","None","A","B","B","A13OPTWYRNK1PH"
"2021/08/23 4:11:39 PM AST","APHY24NDE2KW4","True","True","True","Circle goal","Triangle goal","Square goal","Circle goal","Square goal","Triangle goal","Circle goal","Square goal","Triangle goal","Triangle goal","Circle goal","Square goal","Triangle goal","Circle goal","Square goal","Circle goal","Square goal","Square goal","Circle goal","Triangle goal","Square goal","Circle goal","Triangle goal","Square goal","Circle goal","Triangle goal","Square goal","Circle goal","Triangle goal","Square goal","Square goal","Circle goal","Triangle goal","Square goal","Triangle goal","Circle goal","A","A","B","Tomato","Plate","Lettuce","Plate","Plate","Lettuce","Plate","Tomato","Lettuce","Tomato","Plate","Lettuce","Tomato","Plate","Plate","Plate","Lettuce","Tomato","Plate","Plate","None","Tomato","Plate","None","Tomato","Lettuce","None","Tomato","Plate","Plate","Tomato","Plate","Plate","Plate","Lettuce","Lettuce","A","B","A","APHY24NDE2KW4"
"2021/08/23 4:12:59 PM AST","A2PSVM1H68QVXC","True","True","True","Circle goal","Circle goal","Circle goal","Circle goal","Square goal","Square goal","Circle goal","Triangle goal","Triangle goal","Triangle goal","Circle goal","Square goal","Triangle goal","Circle goal","Square goal","Circle goal","Triangle goal","Circle goal","Square goal","Circle goal","Circle goal","Circle goal","Triangle goal","Square goal","Square goal","Circle goal","Triangle goal","Circle goal","Triangle goal","Circle goal","Circle goal","Circle goal","Circle goal","Circle goal","Triangle goal","Circle goal","B","B","A","Tomato","Tomato","None","Lettuce","Plate","Tomato","Tomato","Lettuce","Plate","Tomato","Tomato","Plate","Lettuce","Plate","Tomato","Lettuce","Plate","Tomato","Lettuce","Plate","None","None","Tomato","None","Lettuce","Plate","Lettuce","None","None","None","Lettuce","None","None","None","Lettuce","None","B","A","B","A2PSVM1H68QVXC"
"2021/08/23 4:16:44 PM AST","A3R3U1IV7NN810","False","True","True","Triangle goal","Circle goal","Square goal","Square goal","Circle goal","Triangle goal","Circle goal","Triangle goal","Triangle goal","Square goal","Circle goal","Square goal","Square goal","Circle goal","Square goal","Square goal","Circle goal","Square goal","Circle goal","Triangle goal","Square goal","Circle goal","Triangle goal","Square goal","Circle goal","Triangle goal","Square goal","Circle goal","Circle goal","Circle goal","Triangle goal","Triangle goal","Triangle goal","Circle goal","Circle goal","Triangle goal","A","B","A","Tomato","Lettuce","Plate","Tomato","Plate","Lettuce","Plate","Lettuce","Plate","Plate","Lettuce","Tomato","Lettuce","Tomato","Plate","Plate","Lettuce","Tomato","Plate","Lettuce","Plate","Tomato","Lettuce","Plate","Tomato","Plate","Tomato","Lettuce","Plate","Lettuce","Lettuce","Plate","Tomato","Plate","Tomato","Lettuce","A","B","A","A3R3U1IV7NN810"
"2021/08/23 4:22:55 PM AST","A11DCLAKUCOUG","True","True","True","Circle goal","Circle goal","Circle goal","Circle goal","Square goal","Circle goal","Circle goal","Square goal","Circle goal","Square goal","Circle goal","Square goal","Square goal","Circle goal","Square goal","Square goal","Circle goal","Square goal","Circle goal","Triangle goal","Square goal","Circle goal","Triangle goal","Square goal","Circle goal","Triangle goal","Square goal","Circle goal","Circle goal","Circle goal","Circle goal","Circle goal","Circle goal","Circle goal","Circle goal","Circle goal","A","B","A","Plate","Tomato","Tomato","Plate","Tomato","Plate","Plate","Lettuce","Tomato","Lettuce","Lettuce","Lettuce","Lettuce","Tomato","Tomato","Tomato","Plate","Lettuce","Plate","Tomato","Lettuce","Plate","Tomato","Lettuce","Plate","Tomato","Lettuce","Tomato","Plate","Lettuce","Plate","Lettuce","Tomato","Plate","Lettuce","Lettuce","B","B","A","A11DCLAKUCOUG"
"2021/08/23 4:28:47 PM AST","A2XCXVNL6CHWQC","True","True","True","Circle goal","Circle goal","Circle goal","Circle goal","Triangle goal","Circle goal","Circle goal","Triangle goal","Triangle goal","Square goal","Circle goal","Square goal","Square goal","Circle goal","Square goal","Square goal","Circle goal","Square goal","Circle goal","Triangle goal","Square goal","Circle goal","Triangle goal","Square goal","Circle goal","Triangle goal","Square goal","Circle goal","Circle goal","Circle goal","Triangle goal","Triangle goal","Triangle goal","Circle goal","Circle goal","Circle goal","A","B","A","Tomato","Tomato","None","Plate","None","Lettuce","Plate","Tomato","Lettuce","None","None","None","None","None","None","Plate","Lettuce","Plate","Plate","Tomato","None","Plate","Lettuce","None","Plate","Lettuce","None","None","None","None","None","None","None","Tomato","Lettuce","Tomato","A","B","A","A2XCXVNL6CHWQC"
"2021/08/23 4:28:57 PM AST","A1HRC7BGXTD8KW","True","True","False","Circle goal","Triangle goal","Square goal","Circle goal","Square goal","Triangle goal","Circle goal","Square goal","Triangle goal","Triangle goal","Circle goal","Square goal","Square goal","Circle goal","Square goal","Triangle goal","Circle goal","Square goal","Circle goal","Square goal","Square goal","Circle goal","Triangle goal","Square goal","Circle goal","Triangle goal","Square goal","Circle goal","Triangle goal","Square goal","Square goal","Triangle goal","Circle goal","Square goal","Triangle goal","Circle goal","A","B","A","Plate","Tomato","Lettuce","Plate","Tomato","Lettuce","Plate","Tomato","Lettuce","Tomato","Tomato","Lettuce","Plate","Tomato","Tomato","Plate","Lettuce","Plate","Plate","Lettuce","None","Tomato","Lettuce","None","Plate","Lettuce","None","Tomato","None","None","Plate","None","None","Tomato","Lettuce","Tomato","A","B","A","A1HRC7BGXTD8KW"
"2021/08/23 4:30:08 PM AST","A3EPGLDF1A65P","True","True","True","Square goal","Square goal","Square goal","Square goal","Square goal","Square goal","Square goal","Square goal","Square goal","Square goal","Square goal","Square goal","Square goal","Square goal","Square goal","Square goal","Square goal","Square goal","Square goal","Square goal","Square goal","Square goal","Square goal","Square goal","Square goal","Square goal","Square goal","Square goal","Square goal","Square goal","Square goal","Square goal","Square goal","Square goal","Square goal","Square goal","A","B","A","Tomato","Lettuce","Plate","Plate","Tomato","Lettuce","Tomato","Plate","Lettuce","Plate","Lettuce","Tomato","Tomato","Lettuce","Plate","Plate","Tomato","Lettuce","Plate","Tomato","Lettuce","Plate","Tomato","Lettuce","Plate","Tomato","Lettuce","Plate","Tomato","Lettuce","Plate","Tomato","Lettuce","Plate","Tomato","Lettuce","A","B","A","A3EPGLDF1A65PP"
"2021/08/23 4:30:39 PM AST","A29Q1MUUL4PT2Y","True","True","True","Circle goal","Circle goal","Circle goal","Circle goal","Triangle goal","Circle goal","Circle goal","Triangle goal","Triangle goal","Square goal","Circle goal","Square goal","Square goal","Circle goal","Square goal","Square goal","Circle goal","Square goal","Circle goal","Triangle goal","Square goal","Circle goal","Triangle goal","Square goal","Circle goal","Triangle goal","Square goal","Circle goal","Circle goal","Circle goal","Circle goal","Circle goal","Circle goal","Circle goal","Circle goal","Circle goal","A","B","A","None","None","Plate","Plate","Tomato","Lettuce","Plate","Tomato","Tomato","None","None","None","Plate","None","None","Plate","Plate","Plate","Plate","Plate","None","Tomato","Lettuce","None","Tomato","Lettuce","None","None","None","None","None","None","None","Tomato","Lettuce","Plate","B","A","B","A29Q1MUUL4PT2Y"
"2021/08/23 4:35:46 PM AST","A10Y0KJ9ZO7WF","True","False","True","Circle goal","Triangle goal","Circle goal","Circle goal","Triangle goal","Circle goal","Circle goal","Triangle goal","Triangle goal","Square goal","Circle goal","Square goal","Square goal","Circle goal","Square goal","Square goal","Circle goal","Square goal","Circle goal","Triangle goal","Square goal","Circle goal","Triangle goal","Square goal","Circle goal","Triangle goal","Square goal","Circle goal","Circle goal","Circle goal","Circle goal","Circle goal","Circle goal","Triangle goal","Circle goal","Circle goal","A","A","B","Tomato","Lettuce","None","Tomato","Plate","Lettuce","Plate","Tomato","Lettuce","Plate","Lettuce","None","Tomato","Plate","None","Plate","Lettuce","None","Plate","Lettuce","Plate","Plate","Plate","None","Plate","Lettuce","None","Plate","Plate","None","Plate","Lettuce","Tomato","Plate","Plate","None","A","B","B","A10Y0KJ9ZO7W6F"
"2021/08/23 4:36:43 PM AST","AQPKCI84XE1X4","True","True","True","Circle goal","Triangle goal","Square goal","Circle goal","Triangle goal","Triangle goal","Circle goal","Triangle goal","Triangle goal","Square goal","Circle goal","Square goal","Square goal","Circle goal","Square goal","Square goal","Circle goal","Square goal","Circle goal","Triangle goal","Square goal","Circle goal","Triangle goal","Square goal","Circle goal","Triangle goal","Square goal","Circle goal","Circle goal","Triangle goal","Triangle goal","Triangle goal","Triangle goal","Triangle goal","Triangle goal","Circle goal","A","A","B","Tomato","Tomato","Lettuce","Plate","Tomato","Lettuce","Plate","Tomato","Lettuce","Lettuce","Lettuce","Lettuce","Tomato","None","None","Plate","Lettuce","Plate","Plate","None","Lettuce","Plate","Lettuce","Lettuce","Plate","Lettuce","None","Tomato","None","None","Plate","Plate","Plate","Tomato","Lettuce","Tomato","B","A","B","AQPKCI84XE1X4"
"2021/08/23 4:49:57 PM AST","AFQ18HMUKKXYB","True","True","True","Square goal","Square goal","Square goal","Square goal","Square goal","Square goal","Square goal","Square goal","Square goal","Square goal","Square goal","Square goal","Square goal","Square goal","Square goal","Square goal","Square goal","Square goal","Square goal","Square goal","Square goal","Square goal","Square goal","Square goal","Square goal","Square goal","Square goal","Square goal","Square goal","Square goal","Square goal","Square goal","Square goal","Square goal","Square goal","Square goal","A","B","A","None","None","Lettuce","None","Lettuce","None","None","Lettuce","None","None","Lettuce","None","None","Lettuce","None","None","Lettuce","None","None","None","None","None","Lettuce","None","Tomato","Lettuce","None","None","Lettuce","None","None","Lettuce","None","None","Lettuce","None","A","B","A","AFQ18HMUKKXYB"
"2021/08/23 5:13:29 PM AST","AIB1QZL6FCU25","True","False","True","Circle goal","Triangle goal","Triangle goal","Circle goal","Triangle goal","Triangle goal","Circle goal","Triangle goal","Triangle goal","Square goal","Circle goal","Square goal","Square goal","Circle goal","Square goal","Square goal","Circle goal","Square goal","Circle goal","Triangle goal","Square goal","Circle goal","Triangle goal","Square goal","Circle goal","Triangle goal","Square goal","Circle goal","Circle goal","Circle goal","Triangle goal","Triangle goal","Triangle goal","Triangle goal","Triangle goal","Circle goal","A","B","A","None","None","None","Plate","Plate","Lettuce","Plate","None","Lettuce","None","None","None","None","None","None","Plate","Plate","None","None","None","None","Plate","Lettuce","None","Plate","Lettuce","None","None","None","None","None","None","None","Tomato","None","None","A","A","B","AIB1QZL6FCU25"
